2024-01-15T10-30-45.1234Z;1.5;100.2
2024-01-15T10-31-45.5678Z;2.3;150.7
2024-01-15T10-32-45.9012Z;1.8;120.5
2024-01-15T10-33-45.3456Z;2.1;130.1
2024-01-15T10-34-45.7890Z;1.9;110.3
2024-01-15T10-35-45.2345Z;2.0;140.8
2024-01-15T10-36-45.6789Z;1.7;115.6
2024-01-15T10-37-45.0123Z;2.5;160.2
2024-01-15T10-38-45.4567Z;1.6;105.9
2024-01-15T10-39-45.8901Z;2.4;155.4
2024-01-15T10-40-45.2345Z;1.3;95.7
2024-01-15T10-41-45.6789Z;2.7;175.3
2024-01-15T10-42-45.0123Z;1.2;88.4
2024-01-15T10-43-45.4567Z;2.9;185.6
2024-01-15T10-44-45.8901Z;1.4;98.2
2024-01-15T10-45-45.2345Z;2.6;168.9
2024-01-15T10-46-45.6789Z;1.1;82.1
2024-01-15T10-47-45.0123Z;3.0;190.4
2024-01-15T10-48-45.4567Z;1.3;92.7
2024-01-15T10-49-45.8901Z;2.8;178.5
